L,a,b,ExposureTime,FNumber,ExposureProgram,ISOSpeedRatings,ShutterSpeedValue,ApertureValue,BrightnessValue,ExposureBiasValue,MaxApertureValue,MeteringMode,Flash,FocalLength,ColorSpace,ExposureMode,WhiteBalance,DigitalZoomRatio,FocalLengthIn35mmFilm,SceneCaptureType,Make,Model,L-true,a-true,b-true
80.08117,-0.19134723,0.52177995,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.230012005,0,0,3,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,73.83144,4.9196286,6.9349422
78.90906,0.9386819,2.0253065,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.308229871,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,72.794525,6.5501328,9.8508
77.20503,0.73421884,3.4869034,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.317551882,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,73.2979,8.30943,13.9308195
75.66829,0.37102437,-1.0059164,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.345574086,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,71.949615,6.289175,8.049189
77.774055,3.0674627,2.398984,0.00826446281,1.9,2,64,6.92243978,1.851998802,5.070331861,0,0,3,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,72.2858,7.187121,13.533483
75.32966,2.3488276,4.04041,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.269713164,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,72.31121,8.8762455,13.609479
74.36206,2.2975628,3.6837168,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.265461562,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,72.15224,8.06445,15.013291
75.26886,3.174566,7.1346097,0.00826446281,1.9,2,64,6.92243978,1.851998802,5.114753067,0,0,3,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,72.4772,7.769709,16.02714
78.671135,1.5734208,6.948141,0.00826446281,1.9,2,64,6.92243978,1.851998802,5.051916044,0,0,3,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,72.54559,6.458333,16.094734
80.84422,-0.21119455,3.8637345,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.364690027,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,73.47208,5.4782414,17.954376
