ISOSpeedRatings,ShutterSpeedValue,BrightnessValue,L,a,b,L-true,a-true,b-true,Make_Apple,Make_Google,Make_samsung
50,6.92243978,5.230012005,80.08117,-0.19134723,0.52177995,73.83144,4.9196286,6.9349422,1,0,0
50,6.92243978,5.308229871,78.90906,0.9386819,2.0253065,72.794525,6.5501328,9.8508,1,0,0
50,6.92243978,5.317551882,77.20503,0.73421884,3.4869034,73.2979,8.30943,13.9308195,1,0,0
50,6.92243978,5.345574086,75.66829,0.37102437,-1.0059164,71.949615,6.289175,8.049189,1,0,0
64,6.92243978,5.070331861,77.774055,3.0674627,2.398984,72.2858,7.187121,13.533483,1,0,0
50,6.92243978,5.269713164,75.32966,2.3488276,4.04041,72.31121,8.8762455,13.609479,1,0,0
50,6.92243978,5.265461562,74.36206,2.2975628,3.6837168,72.15224,8.06445,15.013291,1,0,0
64,6.92243978,5.114753067,75.26886,3.174566,7.1346097,72.4772,7.769709,16.02714,1,0,0
64,6.92243978,5.051916044,78.671135,1.5734208,6.948141,72.54559,6.458333,16.094734,1,0,0
50,6.92243978,5.364690027,80.84422,-0.21119455,3.8637345,73.47208,5.4782414,17.954376,1,0,0
50,6.92243978,5.187762351,79.78315,1.5330046,3.5128832,71.1122,8.53389,13.513726,1,0,0
50,6.92243978,5.276012781,75.42774,3.4426315,2.3795037,70.96779,11.017098,13.915399,1,0,0
50,6.92243978,5.24883793,73.05501,6.682811,3.2199864,71.01131,12.716345,14.0191345,1,0,0
64,6.92243978,4.980921823,73.363464,4.764711,7.4566984,71.43726,8.233705,14.531908,1,0,0
50,6.92243978,5.233809718,78.144554,2.08894,5.775701,71.55298,8.761308,14.159968,1,0,0
50,6.92243978,5.240352192,77.7046,2.7396502,3.5202148,71.41562,8.091913,15.049358,1,0,0
50,6.92243978,5.193279352,74.03503,3.6392725,8.512966,71.27918,7.4235406,15.93976,1,0,0
50,6.92243978,5.17733781,78.667465,1.5415292,5.70197,71.07183,6.5074253,16.170076,1,0,0
50,6.92243978,5.283468586,80.40104,2.0002823,3.6233618,72.370224,5.51347,18.01532,1,0,0
64,6.92243978,5.159487362,75.54859,2.3340745,3.5999608,70.56252,9.332982,13.840332,1,0,0
64,6.92243978,5.176834595,78.9908,1.7408322,2.222146,70.6432,11.316616,12.8952055,1,0,0
50,6.92243978,5.216486746,73.678215,2.302685,3.6910248,70.2198,12.647744,12.863989,1,0,0
50,6.92243978,5.202100858,78.54554,3.2068307,6.853832,70.30789,8.133978,15.104418,1,0,0
50,6.92243978,5.270474597,73.662766,3.0642066,2.492618,70.88817,9.03492,14.859796,1,0,0
50,6.92243978,5.240259984,74.700516,3.19061,3.4333575,70.771866,8.507273,15.231792,1,0,0
50,6.92243978,5.270474597,74.58164,2.2959113,3.6813614,70.91015,7.4370885,15.958854,1,0,0
50,6.92243978,5.233478182,76.914116,2.4441242,6.2334385,70.70245,6.5199704,16.189236,1,0,0
50,6.92243978,5.17733781,76.557945,1.030368,2.6441255,70.47546,5.4609585,16.940756,1,0,0
64,6.92243978,4.869078204,80.31635,3.1567333,3.3214672,69.313416,8.707221,14.786764,1,0,0
64,6.92243978,4.921101739,71.76372,5.592414,2.1234071,69.06666,10.999094,12.812806,1,0,0
