_group_by,backbone,count,median,mean,std,features,model
backbone,resnet18,24,2.0435805101243276,2.0215853795803413,0.09806935026890727,,
backbone,smallcnn,24,2.1573930725218755,2.125626380166049,0.2515250422085657,,
features,,12,1.9541538064441983,1.9808379968007406,0.13310309227736922,image+mean,
features,,12,1.968526134036836,1.9578258701102442,0.14133047489928213,image+mean+meta,
features,,12,2.0895585529387946,2.145490400753324,0.18637072921125167,image+meta,
features,,12,2.1866787940736803,2.2102692518284712,0.2043295273957454,image,
model,,16,1.9541538064441983,2.011799623758074,0.16387415104769418,,film
model,,16,1.9960445021826123,1.9933359787577674,0.17944655463217443,,xattn
model,,16,2.1389051388180444,2.215682037103744,0.16993548782978685,,late
backbone+features,smallcnn,6,1.8847458302028595,1.9129880367763459,0.17118019188395248,image+mean+meta,
backbone+features,resnet18,6,1.9340616180783226,1.9721203418005082,0.0802783561509962,image+mean,
backbone+features,smallcnn,6,1.9742459948100741,1.9895556518009732,0.17985867923222873,image+mean,
backbone+features,resnet18,6,2.032762632672749,2.050497523565141,0.07717863772376668,image+meta,
backbone+features,resnet18,6,2.0523064378708127,2.0026637034441426,0.0990745864929525,image+mean+meta,
backbone+features,resnet18,6,2.133547754136343,2.0610599495115736,0.12563936410341067,image,
backbone+features,smallcnn,6,2.308203577616858,2.359478554145369,0.15044525488506738,image,
backbone+features,smallcnn,6,2.3290836576431517,2.240483277941507,0.2209108709736658,image+meta,
backbone+model,smallcnn,8,1.8789891280825177,1.9508687486724248,0.23738167891706025,,xattn
backbone+model,resnet18,8,1.91660830482604,1.9208602555214411,0.03983331627707507,,film
backbone+model,resnet18,8,2.0435805101243276,2.03580320884311,0.09235808344547529,,xattn
backbone+model,smallcnn,8,2.098563240066407,2.1027389919947064,0.1925003562149525,,film
backbone+model,resnet18,8,2.106737714343601,2.1080926743764725,0.03324821429745603,,late
backbone+model,smallcnn,8,2.31440444030459,2.323271399831015,0.18525095277505613,,late
features+model,,4,1.8521132983858624,1.8521132983858624,0.0641474988789408,image+mean,xattn
features+model,,4,1.8802514140568083,1.8802514140568083,0.005189704743545796,image+mean+meta,film
features+model,,4,1.8947997993893093,1.8947997993893093,0.18187300025289804,image+mean+meta,xattn
features+model,,4,1.9541538064441983,1.9541538064441983,0.02320046072329407,image+mean,film
features+model,,4,1.9960445021826123,1.9970904770351592,0.0412260567217181,image+meta,xattn
features+model,,4,2.061017738448249,2.061017738448249,0.1869030009595197,image,film
features+model,,4,2.0984263968846157,2.0984263968846157,0.021360484638117266,image+mean+meta,late
features+model,,4,2.1362468855721612,2.1362468855721612,0.07114588092216574,image+mean,late
features+model,,4,2.15177553608304,2.15177553608304,0.20473778342447493,image+meta,film
features+model,,4,2.2293403402207392,2.2293403402207392,0.09106342267962958,image,xattn
features+model,,4,2.287605189141773,2.287605189141773,0.16551785318956552,image+meta,late
features+model,,4,2.3404496768164256,2.3404496768164256,0.2389097615103938,image,late
