run_id,metric_kind,best_metric,best_epoch,ckpt_path,model,backbone,features,epochs,batch_size,lr,weight_decay,mse_weight_start,mse_weight_epochs,mse_space_switch,mse_space,val_split,grad_clip,workers,seed,group_split,hidden_classes_cnt,meta_dim,color_space,pred_activation,activation_eps,included_folders,meta_encoder,meta_model_name,meta_layers,meta_text_template,lr_auto,lr_schedule,optim,pretrained,token_stage
6e87c305e854,val,1.737293160907806,63,./checkpoints/results/bg2/full/xattn__smallcnn__image+mean+meta__-focus-__layersnone__ts-2__s101__model=xattn__backbone=smallcnn__features=image+mean+meta/xattn_smallcnn_e063_de001.7373.pt,xattn,smallcnn,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,8.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
14159ef67ff2,val,1.7965599347674657,67,./checkpoints/results/bg2/full/xattn__smallcnn__image+mean__-focus-__layersnone__ts-2__s101__model=xattn__backbone=smallcnn__features=image+mean/xattn_smallcnn_e067_de001.7966.pt,xattn,smallcnn,image+mean,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,3.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
359cb7704fca,val,1.875756997910757,67,./checkpoints/results/bg2/full/film__resnet18__image+mean+meta__-focus-__layersnone__ts-2__s101__model=film__backbone=resnet18__features=image+mean+meta/film_resnet18_e067_de001.8758.pt,film,resnet18,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,8.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
caf256c9b8a9,val,1.8847458302028595,42,./checkpoints/results/bg2/full/film__smallcnn__image+mean+meta__-focus-__layersnone__ts-2__s101__model=film__backbone=smallcnn__features=image+mean+meta/film_smallcnn_e042_de001.8847.pt,film,smallcnn,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,8.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
21a0190ee6f1,val,1.8991549915737576,44,./checkpoints/results/bg2/full/film__resnet18__image__-focus-__layersnone__ts-2__s101__model=film__backbone=resnet18__features=image/film_resnet18_e044_de001.8992.pt,film,resnet18,image,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,0.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
1f834ddfeef4,val,1.9076666620042588,71,./checkpoints/results/bg2/full/xattn__resnet18__image+mean__-focus-__layersnone__ts-2__s101__model=xattn__backbone=resnet18__features=image+mean/final_summary.json,xattn,resnet18,image+mean,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
d44325f74475,val,1.9340616180783226,58,./checkpoints/results/bg2/full/film__resnet18__image+mean__-focus-__layersnone__ts-2__s101__model=film__backbone=resnet18__features=image+mean/film_resnet18_e058_de001.9341.pt,film,resnet18,image+mean,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,3.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
4a5fd0d3a900,val,1.9614183213975696,64,./checkpoints/results/bg2/full/xattn__smallcnn__image+meta__-focus-__layersnone__ts-2__s101__model=xattn__backbone=smallcnn__features=image+meta/xattn_smallcnn_e064_de001.9614.pt,xattn,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,5.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
45720b8dd8be,val,1.9742459948100741,57,./checkpoints/results/bg2/full/film__smallcnn__image+mean__-focus-__layersnone__ts-2__s101__model=film__backbone=smallcnn__features=image+mean/film_smallcnn_e057_de001.9742.pt,film,smallcnn,image+mean,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,3.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
493fa80601ab,val,1.974467414522928,55,./checkpoints/results/bg2/full/film__resnet18__image+meta__-focus-__layersnone__ts-2__s101__model=film__backbone=resnet18__features=image+meta/film_resnet18_e055_de001.9745.pt,film,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,5.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
