run_id,metric_kind,best_metric,best_epoch,ckpt_path,model,backbone,features,epochs,batch_size,lr,weight_decay,mse_weight_start,mse_weight_epochs,mse_space_switch,mse_space,val_split,grad_clip,workers,seed,group_split,hidden_classes_cnt,meta_dim,color_space,pred_activation,activation_eps,included_folders,meta_encoder,meta_model_name,meta_layers,meta_text_template,lr_auto,lr_schedule,optim,pretrained,token_stage
4ea18928ca62,val,2.0865601638006788,55,./checkpoints/results/flair/full/film__resnet18__image+mean+meta__-focus-__layersnone__ts-2__s101__model=film__backbone=resnet18__features=image+mean+meta__meta_encoder=flair/film_resnet18_e055_de002.0866.pt,film,resnet18,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,256.0,rgb,sigmoid_eps,0.001,focus,flair,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
694c395e66f5,val,2.0865601638006788,55,./checkpoints/results/flair/full/film__resnet18__image+meta__-focus-__layersnone__ts-2__s101__model=film__backbone=resnet18__features=image+meta__meta_encoder=flair/film_resnet18_e055_de002.0866.pt,film,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,256.0,rgb,sigmoid_eps,0.001,focus,flair,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
fcacf90b26b8,val,2.163399538918147,32,./checkpoints/results/flair/full/late__resnet18__image+mean+meta__-focus-__layersnone__ts-2__s101__model=late__backbone=resnet18__features=image+mean+meta__meta_encoder=flair/late_resnet18_e032_de002.1634.pt,late,resnet18,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,256.0,rgb,sigmoid_eps,0.001,focus,flair,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
c429cd01ee31,val,2.163399538918147,32,./checkpoints/results/flair/full/late__resnet18__image+meta__-focus-__layersnone__ts-2__s101__model=late__backbone=resnet18__features=image+meta__meta_encoder=flair/late_resnet18_e032_de002.1634.pt,late,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,256.0,rgb,sigmoid_eps,0.001,focus,flair,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
8cf3a3dc3541,val,2.2750580696832565,64,./checkpoints/results/flair/full/xattn__smallcnn__image+mean+meta__-focus-__layersnone__ts-2__s101__model=xattn__backbone=smallcnn__features=image+mean+meta__meta_encoder=flair/xattn_smallcnn_e064_de002.2751.pt,xattn,smallcnn,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,256.0,rgb,sigmoid_eps,0.001,focus,flair,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
b14ca8d172fa,val,2.2750580696832565,64,./checkpoints/results/flair/full/xattn__smallcnn__image+meta__-focus-__layersnone__ts-2__s101__model=xattn__backbone=smallcnn__features=image+meta__meta_encoder=flair/xattn_smallcnn_e064_de002.2751.pt,xattn,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,256.0,rgb,sigmoid_eps,0.001,focus,flair,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
938986b9947c,val,2.3076081336490692,52,./checkpoints/results/flair/full/film__smallcnn__image+mean+meta__-focus-__layersnone__ts-2__s101__model=film__backbone=smallcnn__features=image+mean+meta__meta_encoder=flair/film_smallcnn_e052_de002.3076.pt,film,smallcnn,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,256.0,rgb,sigmoid_eps,0.001,focus,flair,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
f849949b3902,val,2.3076081336490692,52,./checkpoints/results/flair/full/film__smallcnn__image+meta__-focus-__layersnone__ts-2__s101__model=film__backbone=smallcnn__features=image+meta__meta_encoder=flair/film_smallcnn_e052_de002.3076.pt,film,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,256.0,rgb,sigmoid_eps,0.001,focus,flair,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
311bdd58d501,val,2.434077995542496,49,./checkpoints/results/flair/full/xattn__resnet18__image+mean+meta__-focus-__layersnone__ts-2__s101__model=xattn__backbone=resnet18__features=image+mean+meta__meta_encoder=flair/xattn_resnet18_e049_de002.4341.pt,xattn,resnet18,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,256.0,rgb,sigmoid_eps,0.001,focus,flair,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
9f63ecad378b,val,2.434077995542496,49,./checkpoints/results/flair/full/xattn__resnet18__image+meta__-focus-__layersnone__ts-2__s101__model=xattn__backbone=resnet18__features=image+meta__meta_encoder=flair/xattn_resnet18_e049_de002.4341.pt,xattn,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,256.0,rgb,sigmoid_eps,0.001,focus,flair,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
6a1d681c114c,val,2.4693668584974984,54,./checkpoints/results/flair/full/late__smallcnn__image+mean+meta__-focus-__layersnone__ts-2__s101__model=late__backbone=smallcnn__features=image+mean+meta__meta_encoder=flair/late_smallcnn_e054_de002.4694.pt,late,smallcnn,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,256.0,rgb,sigmoid_eps,0.001,focus,flair,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
07d387471daa,val,2.4693668584974984,54,./checkpoints/results/flair/full/late__smallcnn__image+meta__-focus-__layersnone__ts-2__s101__model=late__backbone=smallcnn__features=image+meta__meta_encoder=flair/late_smallcnn_e054_de002.4694.pt,late,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,256.0,rgb,sigmoid_eps,0.001,focus,flair,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
