_group_by,backbone,count,median,mean,std,features,model
backbone,resnet18,24,2.5843685751869563,2.721234741286626,0.3540793553763144,,
backbone,smallcnn,24,2.7988998469852264,2.8695381302051444,0.6993292799796272,,
features,,12,2.2889859536337474,2.305010913036488,0.19484429352511698,image+mean+meta,
features,,12,2.306929745749822,2.321371810524552,0.11578879214675344,image+meta,
features,,12,3.2514346520106,3.274955931290117,0.2805808438998466,image+mean,
features,,12,3.3813240940608678,3.280207088132384,0.40479871288013014,image,
model,,16,2.4939003172374905,2.684286818239424,0.5491755073652801,,film
model,,16,2.7441217869047136,2.82005720867051,0.5285101730174938,,xattn
model,,16,2.876661622713483,2.8818152803277215,0.5975171787407656,,late
backbone+features,smallcnn,6,2.1413437919011193,2.1368418395834627,0.059524361785901515,image+mean+meta,
backbone+features,smallcnn,6,2.2183041739085363,2.254386268595539,0.07794594056763438,image+meta,
backbone+features,resnet18,6,2.393566852145725,2.3883573524535646,0.11247656295397465,image+meta,
backbone+features,resnet18,6,2.430829178340851,2.4731799864895128,0.11001953507413074,image+mean+meta,
backbone+features,resnet18,6,3.094676721663702,2.9470147629894274,0.305081335520998,image,
backbone+features,resnet18,6,3.1415575511871823,3.076386863213998,0.1988576843418874,image+mean,
backbone+features,smallcnn,6,3.4919861521039692,3.4735249993662354,0.19753668972145091,image+mean,
backbone+features,smallcnn,6,3.629351832374694,3.61339941327534,0.03131569771567282,image,
backbone+model,resnet18,8,2.4939003172374905,2.519159111711714,0.22181265400834518,,film
backbone+model,resnet18,8,2.7441217869047136,2.781009206128499,0.4276503143938075,,xattn
backbone+model,smallcnn,8,2.7988998469852264,2.8591052112125217,0.642011967055413,,xattn
backbone+model,smallcnn,8,2.841531115108066,2.849414524767134,0.7312636365118252,,film
backbone+model,resnet18,8,2.876661622713483,2.8635359060196652,0.32551135771997847,,late
backbone+model,smallcnn,8,2.9238280031416153,2.9000946546357778,0.8113790735461652,,late
features+model,,4,2.2255785079229446,2.2255785079229446,0.039839974277901674,image+meta,film
features+model,,4,2.2860864851209852,2.2860864851209852,0.1671344657874419,image+mean+meta,film
features+model,,4,2.2889859536337474,2.2889859536337474,0.10156645852394766,image+mean+meta,xattn
features+model,,4,2.339960300354731,2.339960300354731,0.31385383465345446,image+mean+meta,late
features+model,,4,2.3648642206948898,2.3648642206948898,0.16923296492909096,image+meta,late
features+model,,4,2.3736727029558216,2.3736727029558216,0.02297178478017897,image+meta,xattn
features+model,,4,3.065111766542707,3.065111766542707,0.586749890000984,image,film
features+model,,4,3.160370513371059,3.160370513371059,0.382916756579871,image+mean,film
features+model,,4,3.2514346520106,3.2514346520106,0.008560386073743247,image+mean,xattn
features+model,,4,3.366135526081872,3.366135526081872,0.31345362760944917,image,xattn
features+model,,4,3.409373971772572,3.409373971772572,0.2540085540687856,image,late
features+model,,4,3.4130626284886922,3.4130626284886922,0.3135070589327535,image+mean,late
