run_id,metric_kind,best_metric,best_epoch,ckpt_path,model,backbone,features,epochs,batch_size,lr,weight_decay,mse_weight_start,mse_weight_epochs,mse_space_switch,mse_space,val_split,grad_clip,workers,seed,group_split,hidden_classes_cnt,meta_dim,color_space,pred_activation,activation_eps,included_folders,meta_encoder,meta_model_name,meta_layers,meta_text_template,lr_auto,lr_schedule,optim,pretrained,token_stage
89c22698f5c6,val,2.0681549064696783,60,./checkpoints/results/no-bg2/full/late__smallcnn__image+mean+meta__-focus-__layersnone__ts-2__s101__model=late__backbone=smallcnn__features=image+mean+meta/late_smallcnn_e060_de002.0682.pt,late,smallcnn,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,8.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
caf256c9b8a9,val,2.1413437919011193,46,./checkpoints/results/no-bg2/full/film__smallcnn__image+mean+meta__-focus-__layersnone__ts-2__s101__model=film__backbone=smallcnn__features=image+mean+meta/film_smallcnn_e046_de002.1413.pt,film,smallcnn,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,8.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
adb9c1555e68,val,2.191076078112163,59,./checkpoints/results/no-bg2/full/film__smallcnn__image+meta__-focus-__layersnone__ts-2__s101__model=film__backbone=smallcnn__features=image+meta/film_smallcnn_e059_de002.1911.pt,film,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,5.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
6e87c305e854,val,2.20102682037959,50,./checkpoints/results/no-bg2/full/xattn__smallcnn__image+mean+meta__-focus-__layersnone__ts-2__s101__model=xattn__backbone=smallcnn__features=image+mean+meta/xattn_smallcnn_e050_de002.2010.pt,xattn,smallcnn,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,8.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
e2c4f50e3b03,val,2.2183041739085363,48,./checkpoints/results/no-bg2/full/late__smallcnn__image+meta__-focus-__layersnone__ts-2__s101__model=late__backbone=smallcnn__features=image+meta/late_smallcnn_e048_de002.2183.pt,late,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,5.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
3b0ca64bc6c1,val,2.260080937733726,59,./checkpoints/results/no-bg2/full/film__resnet18__image+meta__-focus-__layersnone__ts-2__s101__model=film__backbone=resnet18__features=image+meta/final_summary.json,film,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
4a5fd0d3a900,val,2.3537785537659177,50,./checkpoints/results/no-bg2/full/xattn__smallcnn__image+meta__-focus-__layersnone__ts-2__s101__model=xattn__backbone=smallcnn__features=image+meta/xattn_smallcnn_e050_de002.3538.pt,xattn,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,5.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
e21aba1e4b1a,val,2.3769450868879045,23,./checkpoints/results/no-bg2/full/xattn__resnet18__image+mean+meta__-focus-__layersnone__ts-2__s101__model=xattn__backbone=resnet18__features=image+mean+meta/xattn_resnet18_e023_de002.3769.pt,xattn,resnet18,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,8.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
657b7d8e311f,val,2.393566852145725,28,./checkpoints/results/no-bg2/full/xattn__resnet18__image+meta__-focus-__layersnone__ts-2__s101__model=xattn__backbone=resnet18__features=image+meta/xattn_resnet18_e028_de002.3936.pt,xattn,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,5.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
359cb7704fca,val,2.430829178340851,57,./checkpoints/results/no-bg2/full/film__resnet18__image+mean+meta__-focus-__layersnone__ts-2__s101__model=film__backbone=resnet18__features=image+mean+meta/film_resnet18_e057_de002.4308.pt,film,resnet18,image+mean+meta,100,32,0.001,0.0001,1.0,75,75,rgb,0.15,1.0,0.0,101.0,class,0.0,8.0,rgb,sigmoid_eps,0.001,focus,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw,True,-2.0
