run_id,metric_kind,best_metric,best_epoch,ckpt_path,model,backbone,features,epochs,batch_size,lr,weight_decay,mse_weight_start,mse_weight_epochs,mse_space,val_split,grad_clip,workers,seed,hidden_classes_cnt,meta_dim,color_space,pred_activation,activation_eps,meta_encoder,meta_model_name,meta_layers,meta_text_template,lr_auto,lr_schedule,optim
621dc181504e,val,2.3267012565366683,58,./checkpoints/sweep/huge_report/adam_optim/background/xattn__smallcnn__image+meta__all__layersnone__s101/xattn_smallcnn_e058_de002.3267.pt,xattn,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
65213612a5d9,val,2.3267012565366683,68,./checkpoints/sweep/huge_report/adam_optim/background/xattn__smallcnn__image+meta__all__layersnone__s101/final_summary.json,xattn,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
df17f4aeaa62,val,2.3951658433483494,63,./checkpoints/sweep/huge_report/adam_optim/background/film__smallcnn__image+meta__all__layersnone__s101/film_smallcnn_e063_de002.3952.pt,film,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
8a624d451baf,val,2.3951658433483494,73,./checkpoints/sweep/huge_report/adam_optim/background/film__smallcnn__image+meta__all__layersnone__s101/final_summary.json,film,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
a64c3ff714d4,val,2.412012384783837,59,./checkpoints/sweep/huge_report/adam_optim/background/late__smallcnn__image+meta__all__layersnone__s101/late_smallcnn_e059_de002.4120.pt,late,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
fd531b7dc701,val,2.412012384783837,69,./checkpoints/sweep/huge_report/adam_optim/background/late__smallcnn__image+meta__all__layersnone__s101/final_summary.json,late,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
9cc96fafe4cb,val,2.5204482001643025,57,./checkpoints/sweep/huge_report/adam_optim/background/xattn__smallcnn__image__all__layersnone__s101/xattn_smallcnn_e057_de002.5204.pt,xattn,smallcnn,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,0.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
c710ec7a6776,val,2.5204482001643025,67,./checkpoints/sweep/huge_report/adam_optim/background/xattn__smallcnn__image__all__layersnone__s101/final_summary.json,xattn,smallcnn,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
daf09ed41315,val,2.5418044597871843,51,./checkpoints/sweep/huge_report/adam_optim/background/film__smallcnn__image__all__layersnone__s101/film_smallcnn_e051_de002.5418.pt,film,smallcnn,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,0.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
40c8927e7d41,val,2.5418044597871843,61,./checkpoints/sweep/huge_report/adam_optim/background/film__smallcnn__image__all__layersnone__s101/final_summary.json,film,smallcnn,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
