run_id_A,metric_kind,best_metric_A,best_epoch_A,ckpt_path_A,model,backbone,features,epochs,batch_size,lr,weight_decay,mse_weight_start,mse_weight_epochs,mse_space,val_split,grad_clip,workers,seed,hidden_classes_cnt,meta_dim,color_space,pred_activation,activation_eps,meta_encoder,meta_model_name,meta_layers,meta_text_template,lr_auto,lr_schedule,optim,run_id_B,best_metric_B,best_epoch_B,ckpt_path_B,delta_B_minus_A,verdict,pct_change_vs_A
06eab24959e1,val,2.7748729413555515,62,./checkpoints/sweep/huge_report/sgd_optim/no_background/late__resnet18__image+meta__all__layersnone__s101/late_resnet18_e062_de002.7749.pt,late,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd,06eab24959e1,2.4419816617042787,54,./checkpoints/sweep/huge_report/sgd_optim/background/late__resnet18__image+meta__all__layersnone__s101/late_resnet18_e054_de002.4420.pt,-0.33289127965127285,better,-11.996631438146222
c7308bfa6d6f,val,2.7748729413555515,64,./checkpoints/sweep/huge_report/sgd_optim/no_background/late__resnet18__image+meta__all__layersnone__s101/final_summary.json,late,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd,c7308bfa6d6f,2.4419816617042787,64,./checkpoints/sweep/huge_report/sgd_optim/background/late__resnet18__image+meta__all__layersnone__s101/final_summary.json,-0.33289127965127285,better,-11.996631438146222
23dbfa5782c7,val,2.8868468961408063,57,./checkpoints/sweep/huge_report/sgd_optim/no_background/xattn__resnet18__image+meta__all__layersnone__s101/xattn_resnet18_e057_de002.8868.pt,xattn,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd,23dbfa5782c7,2.3912728217340287,56,./checkpoints/sweep/huge_report/sgd_optim/background/xattn__resnet18__image+meta__all__layersnone__s101/xattn_resnet18_e056_de002.3913.pt,-0.4955740744067776,better,-17.166621308157033
0855864ad3f1,val,2.8868468961408063,67,./checkpoints/sweep/huge_report/sgd_optim/no_background/xattn__resnet18__image+meta__all__layersnone__s101/final_summary.json,xattn,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd,0855864ad3f1,2.3912728217340287,66,./checkpoints/sweep/huge_report/sgd_optim/background/xattn__resnet18__image+meta__all__layersnone__s101/final_summary.json,-0.4955740744067776,better,-17.166621308157033
1739f7c7a0e0,val,3.1828433698223484,57,./checkpoints/sweep/huge_report/sgd_optim/no_background/film__resnet18__image+meta__all__layersnone__s101/film_resnet18_e057_de003.1828.pt,film,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd,1739f7c7a0e0,2.595309434398528,58,./checkpoints/sweep/huge_report/sgd_optim/background/film__resnet18__image+meta__all__layersnone__s101/film_resnet18_e058_de002.5953.pt,-0.5875339354238203,better,-18.459404600126888
13d888b62770,val,3.1828433698223484,67,./checkpoints/sweep/huge_report/sgd_optim/no_background/film__resnet18__image+meta__all__layersnone__s101/final_summary.json,film,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd,13d888b62770,2.595309434398528,68,./checkpoints/sweep/huge_report/sgd_optim/background/film__resnet18__image+meta__all__layersnone__s101/final_summary.json,-0.5875339354238203,better,-18.459404600126888
e9826d00e607,val,3.7077638564571256,55,./checkpoints/sweep/huge_report/sgd_optim/no_background/film__resnet18__image__all__layersnone__s101/film_resnet18_e055_de003.7078.pt,film,resnet18,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,0.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd,e9826d00e607,2.750914873615388,58,./checkpoints/sweep/huge_report/sgd_optim/background/film__resnet18__image__all__layersnone__s101/film_resnet18_e058_de002.7509.pt,-0.9568489828417377,better,-25.806632242109245
ebe61a8b7845,val,3.7077638564571256,65,./checkpoints/sweep/huge_report/sgd_optim/no_background/film__resnet18__image__all__layersnone__s101/final_summary.json,film,resnet18,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd,ebe61a8b7845,2.750914873615388,63,./checkpoints/sweep/huge_report/sgd_optim/background/film__resnet18__image__all__layersnone__s101/final_summary.json,-0.9568489828417377,better,-25.806632242109245
7d15addd7412,val,3.564556952445738,60,./checkpoints/sweep/huge_report/sgd_optim/no_background/late__resnet18__image__all__layersnone__s101/late_resnet18_e060_de003.5646.pt,late,resnet18,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,0.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd,7d15addd7412,2.599215269088745,46,./checkpoints/sweep/huge_report/sgd_optim/background/late__resnet18__image__all__layersnone__s101/late_resnet18_e046_de002.5992.pt,-0.9653416833569928,better,-27.081673718094084
34081bb94577,val,3.564556952445738,70,./checkpoints/sweep/huge_report/sgd_optim/no_background/late__resnet18__image__all__layersnone__s101/final_summary.json,late,resnet18,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd,34081bb94577,2.599215269088745,59,./checkpoints/sweep/huge_report/sgd_optim/background/late__resnet18__image__all__layersnone__s101/final_summary.json,-0.9653416833569928,better,-27.081673718094084
