run_id,metric_kind,best_metric,best_epoch,ckpt_path,model,backbone,features,epochs,batch_size,lr,weight_decay,mse_weight_start,mse_weight_epochs,mse_space,val_split,grad_clip,workers,seed,hidden_classes_cnt,meta_dim,color_space,pred_activation,activation_eps,meta_encoder,meta_model_name,meta_layers,meta_text_template,lr_auto,lr_schedule,optim
06eab24959e1,val,2.7748729413555515,62,./checkpoints/sweep/huge_report/sgd_optim/no_background/late__resnet18__image+meta__all__layersnone__s101/late_resnet18_e062_de002.7749.pt,late,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
c7308bfa6d6f,val,2.7748729413555515,64,./checkpoints/sweep/huge_report/sgd_optim/no_background/late__resnet18__image+meta__all__layersnone__s101/final_summary.json,late,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
23dbfa5782c7,val,2.8868468961408063,57,./checkpoints/sweep/huge_report/sgd_optim/no_background/xattn__resnet18__image+meta__all__layersnone__s101/xattn_resnet18_e057_de002.8868.pt,xattn,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
0855864ad3f1,val,2.8868468961408063,67,./checkpoints/sweep/huge_report/sgd_optim/no_background/xattn__resnet18__image+meta__all__layersnone__s101/final_summary.json,xattn,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
1739f7c7a0e0,val,3.1828433698223484,57,./checkpoints/sweep/huge_report/sgd_optim/no_background/film__resnet18__image+meta__all__layersnone__s101/film_resnet18_e057_de003.1828.pt,film,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
13d888b62770,val,3.1828433698223484,67,./checkpoints/sweep/huge_report/sgd_optim/no_background/film__resnet18__image+meta__all__layersnone__s101/final_summary.json,film,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
7d15addd7412,val,3.564556952445738,60,./checkpoints/sweep/huge_report/sgd_optim/no_background/late__resnet18__image__all__layersnone__s101/late_resnet18_e060_de003.5646.pt,late,resnet18,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,0.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
34081bb94577,val,3.564556952445738,70,./checkpoints/sweep/huge_report/sgd_optim/no_background/late__resnet18__image__all__layersnone__s101/final_summary.json,late,resnet18,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
4f55eb5ca9f8,val,3.6347897898766304,38,./checkpoints/sweep/huge_report/sgd_optim/no_background/xattn__resnet18__image__all__layersnone__s101/xattn_resnet18_e038_de003.6348.pt,xattn,resnet18,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,0.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
cd3c89f53751,val,3.6347897898766304,59,./checkpoints/sweep/huge_report/sgd_optim/no_background/xattn__resnet18__image__all__layersnone__s101/final_summary.json,xattn,resnet18,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
