run_id,metric_kind,best_metric,best_epoch,ckpt_path,model,backbone,features,epochs,batch_size,lr,weight_decay,mse_weight_start,mse_weight_epochs,mse_space,val_split,grad_clip,workers,seed,hidden_classes_cnt,meta_dim,color_space,pred_activation,activation_eps,meta_encoder,meta_model_name,meta_layers,meta_text_template,lr_auto,lr_schedule,optim
4f55eb5ca9f8,val,2.389837872597479,62,./checkpoints/sweep/huge_report/sgd_optim/background/xattn__resnet18__image__all__layersnone__s101/xattn_resnet18_e062_de002.3898.pt,xattn,resnet18,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,0.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
cd3c89f53751,val,2.389837872597479,72,./checkpoints/sweep/huge_report/sgd_optim/background/xattn__resnet18__image__all__layersnone__s101/final_summary.json,xattn,resnet18,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
23dbfa5782c7,val,2.3912728217340287,56,./checkpoints/sweep/huge_report/sgd_optim/background/xattn__resnet18__image+meta__all__layersnone__s101/xattn_resnet18_e056_de002.3913.pt,xattn,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
0855864ad3f1,val,2.3912728217340287,66,./checkpoints/sweep/huge_report/sgd_optim/background/xattn__resnet18__image+meta__all__layersnone__s101/final_summary.json,xattn,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
06eab24959e1,val,2.4419816617042787,54,./checkpoints/sweep/huge_report/sgd_optim/background/late__resnet18__image+meta__all__layersnone__s101/late_resnet18_e054_de002.4420.pt,late,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
c7308bfa6d6f,val,2.4419816617042787,64,./checkpoints/sweep/huge_report/sgd_optim/background/late__resnet18__image+meta__all__layersnone__s101/final_summary.json,late,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
1739f7c7a0e0,val,2.595309434398528,58,./checkpoints/sweep/huge_report/sgd_optim/background/film__resnet18__image+meta__all__layersnone__s101/film_resnet18_e058_de002.5953.pt,film,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
13d888b62770,val,2.595309434398528,68,./checkpoints/sweep/huge_report/sgd_optim/background/film__resnet18__image+meta__all__layersnone__s101/final_summary.json,film,resnet18,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
7d15addd7412,val,2.599215269088745,46,./checkpoints/sweep/huge_report/sgd_optim/background/late__resnet18__image__all__layersnone__s101/late_resnet18_e046_de002.5992.pt,late,resnet18,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,0.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
34081bb94577,val,2.599215269088745,59,./checkpoints/sweep/huge_report/sgd_optim/background/late__resnet18__image__all__layersnone__s101/final_summary.json,late,resnet18,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,True,paper_resnet,sgd
