run_id_A,best_metric_A,best_epoch_A,ckpt_path_A,model,backbone,features,excluded_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed_A,run_id_B,best_metric_B,best_epoch_B,ckpt_path_B,seed_B,delta_B_minus_A,verdict,pct_change_vs_A
3eb00abaddb4,3.043743574446526,77,/home/dominik/repo/checkpoints/sweep/compare-old/late_smallcnn_e077_de003.0437.pt,late,smallcnn,image+meta,,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100,3eb00abaddb4,3.896142576742864,37,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e037_de003.8961.pt,100,0.8523990022963379,worse,28.00495447292527
a23566bbeab9,2.665178975751323,91,/home/dominik/repo/checkpoints/sweep/compare-old/late_smallcnn_e091_de002.6652.pt,late,smallcnn,image+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100,a23566bbeab9,3.499552580618089,38,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e038_de003.4996.pt,100,0.8343736048667663,worse,31.30647556723854
00609b8676a1,3.0103721860526265,94,/home/dominik/repo/checkpoints/sweep/compare-old/late_smallcnn_e094_de003.0104.pt,late,smallcnn,image+mean+meta,,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100,00609b8676a1,3.75255864046622,30,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e030_de003.7526.pt,100,0.7421864544135937,worse,24.65430878787089
079fbc8243f9,2.978818255086099,53,/home/dominik/repo/checkpoints/sweep/compare-old/late_smallcnn_e053_de002.9788.pt,late,smallcnn,image+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100,079fbc8243f9,3.686893778462564,36,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e036_de003.6869.pt,100,0.7080755233764653,worse,23.77034994221221
0483b580033f,3.2320046390312305,49,/home/dominik/repo/checkpoints/sweep/compare-old/late_smallcnn_e049_de003.2320.pt,late,smallcnn,image+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100,0483b580033f,3.785366575268732,41,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e041_de003.7854.pt,100,0.5533619362375015,worse,17.121322462067
547c156fe365,2.664228486727519,42,/home/dominik/repo/checkpoints/sweep/compare-old/late_smallcnn_e042_de002.6642.pt,late,smallcnn,image+mean+meta,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100,547c156fe365,3.03345641027014,23,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e023_de003.0335.pt,100,0.3692279235426206,worse,13.858718401293894
d6e9f8133248,3.174722748217375,60,/home/dominik/repo/checkpoints/sweep/compare-old/late_resnet18_e060_de003.1747.pt,late,resnet18,image+mean+meta,,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100,d6e9f8133248,3.5332421993863754,25,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e025_de003.5332.pt,100,0.3585194511690002,worse,11.292937355563124
54d452f2953d,3.216061310146166,50,/home/dominik/repo/checkpoints/sweep/compare-old/late_resnet18_e050_de003.2161.pt,late,resnet18,image+mean+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100,54d452f2953d,3.550908517146456,30,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e030_de003.5509.pt,100,0.33484720700029014,worse,10.411717150537525
2aeb3013398f,3.1666029345604683,28,/home/dominik/repo/checkpoints/sweep/compare-old/late_resnet18_e028_de003.1666.pt,late,resnet18,image+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100,2aeb3013398f,3.348491345682452,27,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e027_de003.3485.pt,100,0.18188841112198384,worse,5.743960164277127
5ec80f46f4c6,2.732025400284798,84,/home/dominik/repo/checkpoints/sweep/compare-old/late_smallcnn_e084_de002.7320.pt,late,smallcnn,image+mean+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100,5ec80f46f4c6,2.912464749428534,69,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e069_de002.9125.pt,100,0.18043934914373594,worse,6.604599983767581
