_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs,excluded_folders
model,late,24,3.042914058070585,3.0958183603212706,0.47582456926451006,,,,
backbone,,12,3.0373042649533373,3.092100757789522,0.2870787121625817,resnet18,,,
backbone,,12,3.0608199311755646,3.0995359628530186,0.6252650148006476,smallcnn,,,
features,,12,2.967350786732089,3.0302831962156325,0.4147731768884387,,image+mean+meta,,
features,,12,3.2185567845468936,3.1613535244269086,0.5403640372185574,,image+meta,,
mse_weight_epochs,,12,3.0373042649533373,3.0215834478830783,0.49228851099818927,,,75.0,
mse_weight_epochs,,12,3.1714964464507176,3.170053272759463,0.4680054374587484,,,25.0,
excluded_folders,,8,2.7314728369195778,2.6451670967311744,0.339261895660054,,,,pixel+samsung
excluded_folders,,8,2.990777784778226,3.1368485429594593,0.3318916225010827,,,,samsung
excluded_folders,,8,3.5420753582664157,3.505439441273178,0.3047661769166092,,,,
model+backbone,late,12,3.0373042649533373,3.092100757789522,0.2870787121625817,resnet18,,,
model+backbone,late,12,3.0608199311755646,3.0995359628530186,0.6252650148006476,smallcnn,,,
model+features,late,12,2.967350786732089,3.0302831962156325,0.4147731768884387,,image+mean+meta,,
model+features,late,12,3.2185567845468936,3.1613535244269086,0.5403640372185574,,image+meta,,
model+mse_weight_epochs,late,12,3.0373042649533373,3.0215834478830783,0.49228851099818927,,,75.0,
model+mse_weight_epochs,late,12,3.1714964464507176,3.170053272759463,0.4680054374587484,,,25.0,
model+excluded_folders,late,8,2.7314728369195778,2.6451670967311744,0.339261895660054,,,,pixel+samsung
model+excluded_folders,late,8,2.990777784778226,3.1368485429594593,0.3318916225010827,,,,samsung
model+excluded_folders,late,8,3.5420753582664157,3.505439441273178,0.3047661769166092,,,,
backbone+features,,6,2.9669713012633787,3.09495475808392,0.35993568579633195,resnet18,image+mean+meta,,
backbone+features,,6,2.9729605798493366,2.9656116343473458,0.48876318404831315,smallcnn,image+mean+meta,,
backbone+features,,6,3.0899743961667605,3.089246757495125,0.2274598089270485,resnet18,image+meta,,
backbone+features,,6,3.5932231795403267,3.2334602913586914,0.7603740877326927,smallcnn,image+meta,,
backbone+mse_weight_epochs,,6,2.921153996758731,2.970304666754005,0.6731570241343854,smallcnn,,75.0,
backbone+mse_weight_epochs,,6,3.0373042649533373,3.0728622290121517,0.2715038497821521,resnet18,,75.0,
backbone+mse_weight_epochs,,6,3.1106211305612046,3.1113392865668934,0.3266627933020017,resnet18,,25.0,
backbone+mse_weight_epochs,,6,3.2665044954441145,3.2287672589520326,0.6057077010680504,smallcnn,,25.0,
backbone+excluded_folders,,4,2.2664031185299516,2.4547861649329406,0.3859577300766822,smallcnn,,,pixel+samsung
backbone+excluded_folders,,4,2.782529956605061,2.8355480285294083,0.15148282099655946,resnet18,,,pixel+samsung
backbone+excluded_folders,,4,2.990777784778226,3.060438173432504,0.19729878961040273,resnet18,,,samsung
backbone+excluded_folders,,4,3.2060086650233117,3.2132589124864146,0.45002798057070903,smallcnn,,,samsung
backbone+excluded_folders,,4,3.421389341008836,3.3803160714066545,0.20114250989466145,resnet18,,,
backbone+excluded_folders,,4,3.7689626078674756,3.630562811139701,0.36676748710518275,smallcnn,,,
features+mse_weight_epochs,,6,2.888180682736058,2.89884930702296,0.4346904713240216,,image+mean+meta,75.0,
features+mse_weight_epochs,,6,2.9729605798493366,3.161717085408305,0.3847927324906665,,image+mean+meta,25.0,
features+mse_weight_epochs,,6,3.0899743961667605,3.144317588743196,0.5550287735563628,,image+meta,75.0,
features+mse_weight_epochs,,6,3.329013914156874,3.178389460110621,0.577608664283646,,image+meta,25.0,
features+excluded_folders,,4,2.5083068874945122,2.5808407804334017,0.3851969124203883,,image+meta,,pixel+samsung
features+excluded_folders,,4,2.775817614721965,2.7094934130289468,0.3303823306241037,,image+mean+meta,,pixel+samsung
features+excluded_folders,,4,2.912085263959823,2.9001329733479406,0.11032348656291756,,image+mean+meta,,samsung
features+excluded_folders,,4,3.4240219631502704,3.373564112570978,0.30891014948825507,,image+meta,,samsung
features+excluded_folders,,4,3.5420753582664157,3.4812232022700105,0.2802767587107422,,image+mean+meta,,
features+excluded_folders,,4,3.547451528950014,3.5296556802763455,0.3696035551212021,,image+meta,,
mse_weight_epochs+excluded_folders,,4,2.489569067955017,2.5710979635456956,0.3902177780812495,,,75.0,pixel+samsung
mse_weight_epochs+excluded_folders,,4,2.782529956605061,2.719236229916653,0.3188472999254169,,,25.0,pixel+samsung
mse_weight_epochs+excluded_folders,,4,2.990777784778226,3.1056434723638717,0.40405654381996714,,,75.0,samsung
mse_weight_epochs+excluded_folders,,4,3.130478047555493,3.1680536135550468,0.30193223320616847,,,25.0,samsung
mse_weight_epochs+excluded_folders,,4,3.3392428018044735,3.388008907739667,0.3377126175136209,,,75.0,
mse_weight_epochs+excluded_folders,,4,3.6429004199262978,3.622869974806689,0.256715199144329,,,25.0,
