run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,excluded_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
855951599a11,3.0222368240356445,30,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e030_de003.0222.pt,late,resnet18,image+mean+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
d6e9f8133248,3.5332421993863754,25,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e025_de003.5332.pt,late,resnet18,image+mean+meta,,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
2aeb3013398f,3.3484913456824517,27,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e027_de003.3485.pt,late,resnet18,image+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
54d452f2953d,3.550908517146456,30,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e030_de003.5509.pt,late,resnet18,image+mean+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
45ef00fcd184,2.826874734407448,37,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e037_de002.8269.pt,late,resnet18,image+mean+meta,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
56ee0d2c2881,3.0523717058710305,33,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e033_de003.0524.pt,late,resnet18,image+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
2a04fd5d01c4,2.7247604950364814,39,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e039_de002.7248.pt,late,resnet18,image+mean+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
187bea222136,2.9117057784911125,47,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e047_de002.9117.pt,late,resnet18,image+mean+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
e23b984653a3,2.738185178802674,43,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e043_de002.7382.pt,late,resnet18,image+meta,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
b6431c2454eb,2.959318745520807,45,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e045_de002.9593.pt,late,resnet18,image+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
19217b89a4cc,3.3095364826312963,54,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e054_de003.3095.pt,late,resnet18,image+meta,,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
65a122bc6a50,3.127577086462491,46,/home/dominik/repo/checkpoints/sweep/compare-new/late_resnet18_e046_de003.1276.pt,late,resnet18,image+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
547c156fe365,3.0334564102701393,23,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e023_de003.0335.pt,late,smallcnn,image+mean+meta,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
00609b8676a1,3.75255864046622,30,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e030_de003.7526.pt,late,smallcnn,image+mean+meta,,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
079fbc8243f9,3.6868937784625637,36,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e036_de003.6869.pt,late,smallcnn,image+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
3eb00abaddb4,3.8961425767428635,37,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e037_de003.8961.pt,late,smallcnn,image+meta,,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
a23566bbeab9,3.499552580618089,38,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e038_de003.4996.pt,late,smallcnn,image+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
0483b580033f,3.7853665752687315,41,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e041_de003.7854.pt,late,smallcnn,image+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
d2f521422ecc,3.0881834520809894,57,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e057_de003.0882.pt,late,smallcnn,image+mean+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5ec80f46f4c6,2.912464749428534,69,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e069_de002.9125.pt,late,smallcnn,image+mean+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
b2f1f9d6ba16,2.754124541436472,73,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e073_de002.7541.pt,late,smallcnn,image+mean+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
dc8d5d6de90b,2.252882012401719,86,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e086_de002.2529.pt,late,smallcnn,image+mean+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
61d91036847f,2.2784285961863504,92,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e092_de002.2784.pt,late,smallcnn,image+meta,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
d8e2e6d2ff96,2.2543776408735527,92,/home/dominik/repo/checkpoints/sweep/compare-new/late_smallcnn_e092_de002.2544.pt,late,smallcnn,image+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
