_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs,excluded_folders
model,film,38,2.869996982838363,2.8872543430492796,0.3491736853135092,,,,
model,late,24,2.9836383404270297,2.9418615704297775,0.2989572948379817,,,,
backbone,,32,2.772154254153155,2.8150190854292982,0.36581676156292475,smallcnn,,,
backbone,,30,2.983690904866755,3.0079910664149905,0.25498834641904844,resnet18,,,
features,,32,2.8890226863953004,2.929977692109756,0.33117201427155085,,image+meta,,
features,,30,2.935786532651484,2.8853685526225026,0.3311364124016664,,image+mean+meta,,
mse_weight_epochs,,12,2.840114982013243,2.824845674490494,0.3495255160208073,,,10.0,
mse_weight_epochs,,26,2.8782671998550677,2.901020473644957,0.3277539106497426,,,75.0,
mse_weight_epochs,,12,2.9423275162077487,2.9175862416570495,0.3172923231402366,,,25.0,
mse_weight_epochs,,12,3.161628350134819,2.9987189514706554,0.3424105864453081,,,0.0,
excluded_folders,,21,2.664228486727519,2.623310641386149,0.25935632826996535,,,,pixel+samsung
excluded_folders,,20,3.0027948271843696,2.956859168314165,0.25394229578277194,,,,samsung
excluded_folders,,21,3.174722748217375,3.1473159947997544,0.233195538874282,,,,
model+backbone,film,20,2.772154254153155,2.8129821118231777,0.4195169708387601,smallcnn,,,
model+backbone,late,12,2.8554218276854484,2.818414041439499,0.27041422983905306,smallcnn,,,
model+backbone,film,18,2.9310190117502786,2.9697790444116143,0.23443489812520238,resnet18,,,
model+backbone,late,12,3.0136834767556957,3.0653090994200554,0.2837300645014788,resnet18,,,
model+features,film,18,2.857737344052751,2.8720297021984553,0.39443367879098806,,image+mean+meta,,
model+features,film,20,2.869996982838363,2.9009565198150207,0.3127443673864722,,image+meta,,
model+features,late,12,2.937507430866818,2.9783463126009804,0.36885959346757724,,image+meta,,
model+features,late,12,2.9994153059102935,2.9053768282585737,0.21889329169763797,,image+mean+meta,,
model+mse_weight_epochs,film,14,2.830948277031416,2.8452063945956296,0.3570172185835474,,,75.0,
model+mse_weight_epochs,film,12,2.840114982013243,2.824845674490494,0.3495255160208073,,,10.0,
model+mse_weight_epochs,late,12,2.9423275162077487,2.9175862416570495,0.3172923231402366,,,25.0,
model+mse_weight_epochs,late,12,2.997974741843439,2.966136899202505,0.291403200128716,,,75.0,
model+mse_weight_epochs,film,12,3.161628350134819,2.9987189514706554,0.3424105864453081,,,0.0,
model+excluded_folders,film,13,2.610275742519333,2.5988078301874324,0.3006746208051926,,,,pixel+samsung
model+excluded_folders,late,8,2.67114215945623,2.6631277095840638,0.18514979916738658,,,,pixel+samsung
model+excluded_folders,late,8,2.9836383404270297,2.9327261726702414,0.1662866787204869,,,,samsung
model+excluded_folders,film,12,3.1095994249466927,2.9729478320767804,0.30509654693553295,,,,samsung
model+excluded_folders,film,13,3.1559988215349724,3.096599173731894,0.23503033931777997,,,,
model+excluded_folders,late,8,3.195392029181771,3.2297308290350264,0.2194004413959505,,,,
backbone+features,,15,2.7423224602976153,2.8227238448948158,0.3973991130906275,smallcnn,image+mean+meta,,
backbone+features,,17,2.7835723614347154,2.808220768253842,0.34783599604406673,smallcnn,image+meta,,
backbone+features,,15,2.9789233839655496,3.067968872479791,0.25724358930207536,resnet18,image+meta,,
backbone+features,,15,2.98845842576796,2.94801326035019,0.24657552183393558,resnet18,image+mean+meta,,
backbone+mse_weight_epochs,,6,2.6846605330775306,2.7054729992200737,0.41395149740295345,smallcnn,,10.0,
backbone+mse_weight_epochs,,6,2.6986021880180604,2.743314762133617,0.258164803869593,smallcnn,,25.0,
backbone+mse_weight_epochs,,12,2.872317952494467,2.952551938505664,0.23568557706801202,resnet18,,75.0,
backbone+mse_weight_epochs,,6,2.9454113937193345,2.8986625188190818,0.3933868718647053,smallcnn,,0.0,
backbone+mse_weight_epochs,,6,2.9589329610512856,2.9442183497609147,0.25142462553233863,resnet18,,10.0,
backbone+mse_weight_epochs,,14,2.997974741843439,2.8568506466214934,0.39373570908571953,smallcnn,,75.0,
backbone+mse_weight_epochs,,6,3.077530680164214,3.091857721180482,0.2862609609682921,resnet18,,25.0,
