run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,excluded_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
038b99a7eba8,2.8178120363189514,21,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e021_de002.8178.pt,film,resnet18,image+mean+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
b82111e84bd3,2.8831146395350076,21,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e021_de002.8831.pt,film,resnet18,image+mean+meta,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
2f99cd4fc717,3.3147956171343402,24,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e024_de003.3148.pt,film,resnet18,image+mean+meta,samsung,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
ec04b1e101bd,2.8700436942548637,27,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e027_de002.8700.pt,film,resnet18,image+meta,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
d4b8c83a31cf,3.0706985227523313,27,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e027_de003.0707.pt,film,resnet18,image+mean+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
83c3a0a758a1,2.9789233839655496,29,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e029_de002.9789.pt,film,resnet18,image+meta,pixel+samsung,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
0d7745223d48,3.2069945181569746,36,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e036_de003.2070.pt,film,resnet18,image+meta,samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
8ebdf9d18602,2.829536505492337,35,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e035_de002.8295.pt,film,resnet18,image+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5677972fad23,2.869950271421863,37,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e037_de002.8700.pt,film,resnet18,image+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
af4a5cfbd232,3.1747563731285835,37,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e037_de003.1748.pt,film,resnet18,image+meta,samsung,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
e0c4639cb20d,2.5878132991043916,48,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e048_de002.5878.pt,film,resnet18,image+mean+meta,pixel+samsung,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
ed53ab4d96bd,3.1559988215349724,45,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e045_de003.1560.pt,film,resnet18,image+mean+meta,,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
9385ead0a361,3.195684259525244,50,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e050_de003.1957.pt,film,resnet18,image+mean+meta,,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
2d7bf3820c28,3.3406793718752654,57,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e057_de003.3407.pt,film,resnet18,image+meta,,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
0345daddf16e,3.034751282567563,63,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e063_de003.0348.pt,film,resnet18,image+meta,,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
7cd30e767279,2.8323600485704947,73,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e073_de002.8324.pt,film,resnet18,image+mean+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
4a16823d07f8,2.7777030115542205,83,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e083_de002.7777.pt,film,resnet18,image+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
80f82ee029c0,2.5144071425161054,85,/home/dominik/repo/checkpoints/sweep/compare-old/film_resnet18_e085_de002.5144.pt,film,resnet18,image+mean+meta,samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
a61313752441,3.279836085534865,24,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e024_de003.2798.pt,film,smallcnn,image+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
a307aa3356f3,2.2735205084444527,83,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e083_de002.2735.pt,film,smallcnn,image+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
c1f07783b6b0,3.2257559068741335,30,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e030_de003.2258.pt,film,smallcnn,image+mean+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
090ca1dc4cb0,3.3961178779602053,33,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e033_de003.3961.pt,film,smallcnn,image+mean+meta,,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
e7abdb304b9f,2.810186269771622,34,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e034_de002.8102.pt,film,smallcnn,image+meta,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
f33b8b4ca71f,3.3585073146267215,37,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e037_de003.3585.pt,film,smallcnn,image+mean+meta,,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
39ac30690cb0,2.610275742519333,39,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e039_de002.6103.pt,film,smallcnn,image+mean+meta,pixel+samsung,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
067f1f0506e1,3.148500327141054,40,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e040_de003.1485.pt,film,smallcnn,image+meta,samsung,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
a5261d405807,3.1492559681768,42,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e042_de003.1493.pt,film,smallcnn,image+mean+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
68827d97d9f7,2.7423224602976153,53,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e053_de002.7423.pt,film,smallcnn,image+mean+meta,samsung,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
64377e871d5a,3.1887837714043217,47,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e047_de003.1888.pt,film,smallcnn,image+meta,,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
9a86cbd69b2b,2.608584919283467,55,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e055_de002.6086.pt,film,smallcnn,image+mean+meta,samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
