_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs,excluded_folders
model,xattn,96,3.2357967545862465,3.645623252448683,1.07564261967655,,,,
model,late,96,3.2783801384449056,3.7268345524428166,1.0758492748435746,,,,
backbone,,96,3.2193397298712996,3.825154829088774,1.3093239967721675,smallcnn,,,
backbone,,96,3.2783801384449056,3.5473029758027255,0.7513019218979535,resnet18,,,
features,,64,2.9379681425709876,2.9705478011831388,0.30248790709887907,,image+mean+meta,,
features,,64,3.0031678400656636,3.07463102095435,0.36513056147718964,,image+meta,,
features,,64,5.082653161753779,5.01350788519976,0.7617815276367128,,image,,
mse_weight_epochs,,48,3.213431524177979,3.6653052753367827,1.1607914824912577,,,25.0,
mse_weight_epochs,,48,3.2398726347351743,3.7096191983082414,1.0889751276821498,,,50.0,
mse_weight_epochs,,48,3.274525750067926,3.6579412669455826,1.0017624471227786,,,75.0,
mse_weight_epochs,,48,3.333400448978389,3.7120498691923913,1.070308899037262,,,10.0,
excluded_folders,,48,2.9323261444827162,3.3364634289140684,0.9320188576771697,,,,pixel+samsung
excluded_folders,,48,3.2217633724212646,3.5912564215801095,1.0445228775275546,,,,samsung
excluded_folders,,48,3.2561175067916173,3.781002530311507,1.1098602496548282,,,,pixel
excluded_folders,,48,3.5331836506940313,4.0361932289773135,1.1068041207688197,,,,none
model+backbone,xattn,48,2.9213670285590285,3.7161854365305165,1.2831227521647612,smallcnn,,,
model+backbone,late,48,3.2680851990176785,3.9341242216470316,1.3395804583585644,smallcnn,,,
model+backbone,late,48,3.2783801384449056,3.519544883238602,0.676230484937039,resnet18,,,
model+backbone,xattn,48,3.3363521841763566,3.5750610683668484,0.8258676332611664,resnet18,,,
model+features,xattn,32,2.8529303433477686,2.8730427543266157,0.27931097277040373,,image+mean+meta,,
model+features,xattn,32,2.9093857187556678,3.071760090292241,0.4480966967045788,,image+meta,,
model+features,late,32,3.030775738285424,3.077501951616459,0.26482757355617115,,image+meta,,
model+features,late,32,3.0935939632510303,3.068052848039662,0.29716491821116064,,image+mean+meta,,
model+features,xattn,32,4.980403282835114,4.992066912727191,0.6628672622779055,,image,,
model+features,late,32,5.141868894197161,5.034948857672329,0.8596509799993018,,image,,
model+mse_weight_epochs,xattn,24,3.0307812949216717,3.6379231451797605,1.2611475059670156,,,25.0,
model+mse_weight_epochs,xattn,24,3.194254863434944,3.6690781980763965,1.1124094975305565,,,50.0,
model+mse_weight_epochs,late,24,3.2398726347351743,3.7501601985400868,1.0873859157608026,,,50.0,
model+mse_weight_epochs,xattn,24,3.256537985983696,3.6511017093516736,1.0695535899495787,,,10.0,
model+mse_weight_epochs,late,24,3.259663292794302,3.6926874054938055,1.0776827691593855,,,25.0,
model+mse_weight_epochs,late,24,3.2743041183202317,3.6914925767042654,1.114641979734943,,,75.0,
model+mse_weight_epochs,xattn,24,3.274525750067926,3.6243899571869007,0.897725817409713,,,75.0,
model+mse_weight_epochs,late,24,3.333400448978389,3.772998029033109,1.0905191567006944,,,10.0,
model+excluded_folders,xattn,24,2.7747719754655678,3.296270922305115,0.9386683967562027,,,,pixel+samsung
model+excluded_folders,xattn,24,2.903103247765572,3.5275464154058884,1.136981090480371,,,,samsung
model+excluded_folders,late,24,2.9606888229588426,3.3766559355230217,0.9437247396518282,,,,pixel+samsung
model+excluded_folders,xattn,24,3.155320126591748,3.7530453509956825,1.1550040203345944,,,,pixel
model+excluded_folders,late,24,3.2774123453324844,3.65496642775433,0.9634807739738289,,,,samsung
model+excluded_folders,late,24,3.2892214937974478,3.808959709627331,1.0869545364705366,,,,pixel
model+excluded_folders,late,24,3.4149523316950035,4.066756136866584,1.2326566583874496,,,,none
model+excluded_folders,xattn,24,3.611436276504959,4.005630321088044,0.9909088835463645,,,,none
backbone+features,,32,2.895583911509125,2.928730667131681,0.3320515106749066,smallcnn,image+mean+meta,,
backbone+features,,32,2.9093857187556678,2.9685769568630733,0.37568501850920494,smallcnn,image+meta,,
backbone+features,,32,2.9724302300089422,3.0123649352345967,0.268479194092836,resnet18,image+mean+meta,,
backbone+features,,32,3.1982409234423277,3.1806850850456265,0.3264682289780991,resnet18,image+meta,,
backbone+features,,32,4.337135391850625,4.448858907127953,0.5272200193055271,resnet18,image,,
backbone+features,,32,5.706329868841863,5.578156863271567,0.49310692575331716,smallcnn,image,,
