run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,excluded_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
1986f4c28c83,3.064068801530445,33,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e033_de003.0641.pt,xattn,resnet18,image+mean+meta,pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
700f70a1a699,4.328327363537204,15,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e015_de004.3283.pt,late,resnet18,image,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
37a5fce300ad,2.955864848860775,17,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e017_de002.9559.pt,late,resnet18,image+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
d63998e36562,3.0349029733474,31,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e031_de003.0349.pt,late,resnet18,image+meta,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5e20b422928f,3.313479946505639,21,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e021_de003.3135.pt,late,resnet18,image+meta,samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
df59b9192bcd,3.2312216342213644,31,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e031_de003.2312.pt,late,resnet18,image+meta,pixel+samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
b721d32efe5d,3.248523635248984,24,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e024_de003.2485.pt,late,resnet18,image+meta,samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
df1cd4c5e5c4,4.06164357461125,24,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e024_de004.0616.pt,late,resnet18,image,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
7e0e6f666fa1,2.834569607872561,25,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e025_de002.8346.pt,late,resnet18,image+mean+meta,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
0315ffbcb08c,3.57946904165199,26,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e026_de003.5795.pt,late,resnet18,image,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
