_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs,excluded_folders
model,xattn,47,2.8712751471478004,2.904562471905475,0.3794893573395277,,,,
model,late,64,3.080639118209739,3.0709544391289234,0.3267853520624223,,,,
backbone,,64,2.8757724919906296,2.888136913877617,0.3454496116912951,smallcnn,,,
backbone,,47,3.141323309818297,3.153505485013637,0.3188312710280314,resnet18,,,
features,,48,2.9199077692584714,2.922160733843363,0.2984071781646635,,image+mean+meta,,
features,,63,2.982830293716923,3.0601873818940795,0.3893397420354462,,image+meta,,
mse_weight_epochs,,28,2.9150845575689326,2.959249019854373,0.3703528514053755,,,50.0,
mse_weight_epochs,,28,2.937165549327217,3.022747433859121,0.3691249173353598,,,25.0,
mse_weight_epochs,,27,2.9548895468238654,3.003942285264094,0.34119283655195914,,,75.0,
mse_weight_epochs,,28,3.0176525388965167,3.0161849242035736,0.36640850316990226,,,10.0,
excluded_folders,,28,2.6312872609460207,2.7197176396026053,0.3122151658153145,,,,pixel+samsung
excluded_folders,,28,2.8943068981170654,2.9280866733344473,0.2724675665938041,,,,samsung
excluded_folders,,27,3.1008534122059364,3.071203441042869,0.2797681638200228,,,,pixel
excluded_folders,,28,3.2833436665327653,3.2855180933361963,0.31430514629085105,,,,
model+backbone,xattn,32,2.7762532378029747,2.7938851237035727,0.3333354318903809,smallcnn,,,
model+backbone,late,32,2.985668781384316,2.9823887040516617,0.336255804319169,smallcnn,,,
model+backbone,late,32,3.1400914501597863,3.159520174206185,0.2962436938611492,resnet18,,,
model+backbone,xattn,15,3.2324846955656095,3.1406741480695333,0.3733877767269572,resnet18,,,
model+features,xattn,16,2.7570191885678823,2.7205859436117508,0.19675441640377517,,image+mean+meta,,
model+features,xattn,31,2.9286742072174516,2.999518099411913,0.4172450881392178,,image+meta,,
model+features,late,32,3.049253851534372,3.1189607492986777,0.35699695263914216,,image+meta,,
model+features,late,32,3.0907888354526074,3.022948128959169,0.29123428414402575,,image+mean+meta,,
model+mse_weight_epochs,xattn,12,2.779421715920786,2.9496838679076887,0.4261694506989987,,,25.0,
model+mse_weight_epochs,xattn,12,2.8810108374523864,2.8594939364157264,0.37885232902777677,,,50.0,
model+mse_weight_epochs,xattn,12,2.8819238918415016,2.8715853817591483,0.3631022800142191,,,10.0,
model+mse_weight_epochs,xattn,11,2.912185015194658,2.9404798133242336,0.39007612161128813,,,75.0,
model+mse_weight_epochs,late,16,3.026413754086248,3.047572734722748,0.30880115946989817,,,75.0,
model+mse_weight_epochs,late,16,3.056288069294345,3.034065332433358,0.35735703558897763,,,50.0,
