run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,excluded_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
1331ce8727be,3.461905340994558,32,/home/dominik/repo/checkpoints/sweep/excluded2/xattn_resnet18_e032_de003.4619.pt,xattn,resnet18,image+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
96c798d75d1e,2.82101147576987,20,/home/dominik/repo/checkpoints/sweep/excluded2/late_resnet18_e020_de002.8210.pt,late,resnet18,image+mean+meta,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
3d7337819573,3.2585046522078978,21,/home/dominik/repo/checkpoints/sweep/excluded2/late_resnet18_e021_de003.2585.pt,late,resnet18,image+meta,samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
79ce6e3fd057,3.3809333466391527,22,/home/dominik/repo/checkpoints/sweep/excluded2/late_resnet18_e022_de003.3809.pt,late,resnet18,image+mean+meta,pixel,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
267c94f8ec21,2.99087715918018,23,/home/dominik/repo/checkpoints/sweep/excluded2/late_resnet18_e023_de002.9909.pt,late,resnet18,image+meta,samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
187bea222136,3.161813336033975,23,/home/dominik/repo/checkpoints/sweep/excluded2/late_resnet18_e023_de003.1618.pt,late,resnet18,image+mean+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
50e6656a417b,3.3097718216990697,30,/home/dominik/repo/checkpoints/sweep/excluded2/late_resnet18_e030_de003.3098.pt,late,resnet18,image+meta,pixel,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
65a122bc6a50,3.8307411912558735,24,/home/dominik/repo/checkpoints/sweep/excluded2/late_resnet18_e024_de003.8307.pt,late,resnet18,image+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
45ef00fcd184,2.9794393763484726,26,/home/dominik/repo/checkpoints/sweep/excluded2/late_resnet18_e026_de002.9794.pt,late,resnet18,image+mean+meta,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
e23b984653a3,3.0628114234970276,27,/home/dominik/repo/checkpoints/sweep/excluded2/late_resnet18_e027_de003.0628.pt,late,resnet18,image+meta,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
