_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs,included_folders
model,xattn,4,2.616665992392115,2.5901343955332976,0.3752208993021592,,,,
model,late,4,2.6977769940732474,2.576587575027742,0.31785550315145733,,,,
model,film,4,2.842152232147125,2.693333674267114,0.32199573529360015,,,,
backbone,,6,2.732385619577155,2.632521561829441,0.2476490846625498,resnet18,,,
backbone,,6,2.7670544055571042,2.6075155347226615,0.39002659451691335,smallcnn,,,
features,,12,2.7356454205800254,2.620018548276051,0.31175893542611827,,image+meta,,
mse_weight_epochs,,6,2.3371040684631073,2.4325018522729835,0.3417406112344266,,,75.0,
mse_weight_epochs,,6,2.801663031061012,2.807535244279119,0.11246920450062134,,,5.0,
included_folders,,12,2.7356454205800254,2.620018548276051,0.31175893542611827,,,,focus
model+backbone,late,2,2.403457780200315,2.403457780200315,0.4208402787149851,smallcnn,,,
model+backbone,film,2,2.5311813232410385,2.5311813232410385,0.4526206416491508,resnet18,,,
model+backbone,xattn,2,2.56360279867448,2.56360279867448,0.6102277335701534,smallcnn,,,
model+backbone,xattn,2,2.616665992392115,2.616665992392115,0.21720630854945636,resnet18,,,
model+backbone,late,2,2.7497173698551682,2.7497173698551682,0.07806483865444398,resnet18,,,
model+backbone,film,2,2.8554860252931897,2.8554860252931897,0.03169819587571733,smallcnn,,,
model+features,xattn,4,2.616665992392115,2.5901343955332976,0.3752208993021592,,image+meta,,
model+features,late,4,2.6977769940732474,2.576587575027742,0.31785550315145733,,image+meta,,
model+features,film,4,2.842152232147125,2.693333674267114,0.32199573529360015,,image+meta,,
model+mse_weight_epochs,xattn,2,2.2975922844496117,2.2975922844496117,0.23403205661950366,,,75.0,
model+mse_weight_epochs,late,2,2.4553981559822358,2.4553981559822358,0.4942950625805327,,,75.0,
model+mse_weight_epochs,film,2,2.544515116387103,2.544515116387103,0.4714774727541928,,,75.0,
model+mse_weight_epochs,late,2,2.6977769940732474,2.6977769940732474,0.00461005478889639,,,5.0,
model+mse_weight_epochs,film,2,2.842152232147125,2.842152232147125,0.012841364770675292,,,5.0,
model+mse_weight_epochs,xattn,2,2.882676506616983,2.882676506616983,0.1589893684011937,,,5.0,
model+included_folders,xattn,4,2.616665992392115,2.5901343955332976,0.3752208993021592,,,,focus
model+included_folders,late,4,2.6977769940732474,2.576587575027742,0.31785550315145733,,,,focus
model+included_folders,film,4,2.842152232147125,2.693333674267114,0.32199573529360015,,,,focus
backbone+features,,6,2.732385619577155,2.632521561829441,0.2476490846625498,resnet18,image+meta,,
backbone+features,,6,2.7670544055571042,2.6075155347226615,0.39002659451691335,smallcnn,image+meta,,
backbone+mse_weight_epochs,,3,2.1321066301989267,2.3719618100239095,0.4383515603943125,smallcnn,,75.0,
backbone+mse_weight_epochs,,3,2.463077938700297,2.493041894522058,0.29802555724385627,resnet18,,75.0,
backbone+mse_weight_epochs,,3,2.770254046083933,2.7720012291368232,0.07837223544375535,resnet18,,5.0,
backbone+mse_weight_epochs,,3,2.8330720160380904,2.843069259421414,0.14728577296418127,smallcnn,,5.0,
backbone+included_folders,,6,2.732385619577155,2.632521561829441,0.2476490846625498,resnet18,,,focus
backbone+included_folders,,6,2.7670544055571042,2.6075155347226615,0.39002659451691335,smallcnn,,,focus
features+mse_weight_epochs,,6,2.3371040684631073,2.4325018522729835,0.3417406112344266,,image+meta,75.0,
features+mse_weight_epochs,,6,2.801663031061012,2.807535244279119,0.11246920450062134,,image+meta,5.0,
features+included_folders,,12,2.7356454205800254,2.620018548276051,0.31175893542611827,,image+meta,,focus
mse_weight_epochs+included_folders,,6,2.3371040684631073,2.4325018522729835,0.3417406112344266,,,75.0,focus
mse_weight_epochs+included_folders,,6,2.801663031061012,2.807535244279119,0.11246920450062134,,,5.0,focus
