run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,included_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
47b85a003bd7,2.0667363620666137,37,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e037_de002.0667.pt,film,resnet18,image+mean+meta,focus/samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
ff745a041ff6,2.48507700427886,37,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e037_de002.4851.pt,film,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6b376961f8c8,2.5624956084835913,44,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e044_de002.5625.pt,film,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
4299431ef337,3.332732441355881,45,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e045_de003.3327.pt,film,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
c8f21490ec89,2.500679531405049,39,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e039_de002.5007.pt,film,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
01b869c361ab,2.663980322499429,40,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e040_de002.6640.pt,film,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
a1ab73c4b8f9,2.383090934445781,40,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e040_de002.3831.pt,film,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
ceda4a48f76d,3.0532720297285656,48,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e048_de003.0533.pt,film,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
a1fb7ae9e680,3.2569899929379953,42,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e042_de003.2570.pt,film,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
61ec79c3dccc,2.5095018571422947,48,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e048_de002.5095.pt,film,resnet18,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5ba39a9668dc,3.034999503456131,54,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e054_de003.0350.pt,film,resnet18,image+mean+meta,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
93c15927d329,3.142324433743375,45,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e045_de003.1423.pt,film,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
b1e4f45338bf,3.3129545670111202,45,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e045_de003.3130.pt,film,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
29700b19fc70,1.7881370237074703,46,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e046_de001.7881.pt,film,resnet18,image+mean+meta,focus/samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
00c2199582c8,2.501369514772969,47,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e047_de002.5014.pt,film,resnet18,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6c527d6c8e36,2.4874698115933325,51,/home/dominik/repo/checkpoints/sweep/flair4/film_resnet18_e051_de002.4875.pt,film,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
