_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs,included_folders
model,xattn,16,2.4664029305164163,2.447419210156586,0.24258647668620467,,,,
model,late,16,2.581306012053239,2.571626743184817,0.28979297526382025,,,,
model,film,16,2.588396869510053,2.609010672325489,0.2579640343974712,,,,
backbone,,24,2.5038719815120363,2.5337156588048266,0.2900615774422246,smallcnn,,,
backbone,,24,2.5175138460962394,2.551655424973102,0.24940078108399302,resnet18,,,
features,,24,2.4777126103116753,2.5310984200832163,0.2976382378463733,,image+mean+meta,,
features,,24,2.5916902415723686,2.554272663694712,0.2400742885460038,,image+meta,,
mse_weight_epochs,,24,2.5171511789578713,2.529153325696211,0.27894532335875755,,,75.0,
mse_weight_epochs,,24,2.555988212426503,2.556217758081717,0.26136511551472236,,,5.0,
included_folders,,24,2.3230244854846633,2.375141430152468,0.18666364622571774,,,,focus
included_folders,,24,2.699483591213561,2.71022965362546,0.23038673504032872,,,,focus/iphone+iphone
model+backbone,xattn,8,2.4446875578478764,2.444758919804904,0.157241517611722,resnet18,,,
model+backbone,film,8,2.466177612965164,2.5465108129400402,0.2370218778092808,smallcnn,,,
model+backbone,xattn,8,2.4925623017167773,2.4500795005082683,0.3183743263436593,smallcnn,,,
model+backbone,late,8,2.5171511789578713,2.538696823403463,0.2692413589769083,resnet18,,,
model+backbone,late,8,2.644323245487765,2.6045566629661714,0.3240178760784718,smallcnn,,,
model+backbone,film,8,2.6871763237987656,2.6715105317109384,0.27836931608063886,resnet18,,,
model+features,film,8,2.462997805704352,2.5554857187003015,0.2897189689710808,,image+mean+meta,,
model+features,xattn,8,2.4664029305164163,2.4431822734645343,0.24948219458295126,,image+mean+meta,,
model+features,xattn,8,2.491397387783363,2.4516561468486375,0.25262795797304083,,image+meta,,
model+features,late,8,2.581306012053239,2.548626218284822,0.21903278334520637,,image+meta,,
model+features,late,8,2.5988518971515946,2.5946272680848126,0.3616248292861017,,image+mean+meta,,
model+features,film,8,2.60623754394959,2.6625356259506767,0.2282803252264253,,image+meta,,
model+mse_weight_epochs,xattn,8,2.4446875578478764,2.4110172270840304,0.2245842290141155,,,75.0,
model+mse_weight_epochs,xattn,8,2.473823757938642,2.483821193229142,0.2695114041230144,,,5.0,
model+mse_weight_epochs,late,8,2.5171511789578713,2.5292485174720016,0.24017881706935426,,,75.0,
model+mse_weight_epochs,film,8,2.538969742624383,2.5708271121183777,0.15362224055661974,,,5.0,
model+mse_weight_epochs,film,8,2.588396869510053,2.6471942325326006,0.34009564784093194,,,75.0,
model+mse_weight_epochs,late,8,2.644323245487765,2.614004968897633,0.3437532034695314,,,5.0,
model+included_folders,xattn,8,2.2798710156636064,2.276770488863968,0.17445602116047715,,,,focus
model+included_folders,late,8,2.3085178538977384,2.3445374714322837,0.16045660394399844,,,,focus
model+included_folders,film,8,2.5191917132182295,2.504116330161152,0.16481329598803499,,,,focus
model+included_folders,xattn,8,2.5831871555562604,2.618067931449204,0.1706051747542484,,,,focus/iphone+iphone
model+included_folders,film,8,2.714680557711082,2.7139050144898262,0.3004740349154966,,,,focus/iphone+iphone
model+included_folders,late,8,2.7840732984375536,2.7987160149373507,0.19062404207445796,,,,focus/iphone+iphone
backbone+features,,12,2.451688125909093,2.509953497070209,0.320306606574356,smallcnn,image+mean+meta,,
backbone+features,,12,2.5017892403976534,2.5522433430962237,0.2857598870670607,resnet18,image+mean+meta,,
backbone+features,,12,2.553509476547185,2.55106750684998,0.21999237626344206,resnet18,image+meta,,
backbone+features,,12,2.6182849166686073,2.5574778205394444,0.26849930048935916,smallcnn,image+meta,,
backbone+mse_weight_epochs,,12,2.4547514465817235,2.507743278523962,0.31405919659600967,smallcnn,,75.0,
backbone+mse_weight_epochs,,12,2.5171511789578713,2.5505633728684596,0.2511202206180301,resnet18,,75.0,
backbone+mse_weight_epochs,,12,2.538969742624383,2.5596880390856906,0.27534557010806965,smallcnn,,5.0,
backbone+mse_weight_epochs,,12,2.584587574887039,2.552747477077744,0.2588284096074468,resnet18,,5.0,
backbone+included_folders,,12,2.3222941964505663,2.4116326138437034,0.18289643397118896,resnet18,,,focus
