run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,included_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
67fb875717c8,2.707329405359475,21,/home/dominik/repo/checkpoints/sweep/focus/film_resnet18_e021_de002.7073.pt,film,resnet18,image+meta,focus,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
37391b9daa5f,3.101793046583209,21,/home/dominik/repo/checkpoints/sweep/focus/film_resnet18_e021_de003.1018.pt,film,resnet18,image+mean+meta,focus/iphone+iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
b76ae28b0641,2.574143168437912,24,/home/dominik/repo/checkpoints/sweep/focus/film_resnet18_e024_de002.5741.pt,film,resnet18,image+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
ff465132ee14,2.667023242238056,24,/home/dominik/repo/checkpoints/sweep/focus/film_resnet18_e024_de002.6670.pt,film,resnet18,image+mean+meta,focus,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
8ff8eccc0d50,2.890759459713049,34,/home/dominik/repo/checkpoints/sweep/focus/film_resnet18_e034_de002.8908.pt,film,resnet18,image+meta,focus/iphone+iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
add1c49280cf,2.8195365981051794,44,/home/dominik/repo/checkpoints/sweep/focus/film_resnet18_e044_de002.8195.pt,film,resnet18,image+mean+meta,focus/iphone+iphone,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5d8913ccb01b,2.2388320687305496,74,/home/dominik/repo/checkpoints/sweep/focus/film_resnet18_e074_de002.2388.pt,film,resnet18,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
18bc43b1bc73,2.3726672645200764,82,/home/dominik/repo/checkpoints/sweep/focus/film_resnet18_e082_de002.3727.pt,film,resnet18,image+meta,focus/iphone+iphone,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
458369622f50,2.6026505705821945,27,/home/dominik/repo/checkpoints/sweep/focus/film_smallcnn_e027_de002.6027.pt,film,smallcnn,image+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
fcc58df6888c,3.0786703636771753,28,/home/dominik/repo/checkpoints/sweep/focus/film_smallcnn_e028_de003.0787.pt,film,smallcnn,image+meta,focus/iphone+iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
c73e6843eeed,2.4642402579985467,43,/home/dominik/repo/checkpoints/sweep/focus/film_smallcnn_e043_de002.4642.pt,film,smallcnn,image+meta,focus,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
d19af28c4a1c,2.4578806434769227,42,/home/dominik/repo/checkpoints/sweep/focus/film_smallcnn_e042_de002.4579.pt,film,smallcnn,image+mean+meta,focus,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
56b34b4aac2b,2.32083128446556,61,/home/dominik/repo/checkpoints/sweep/focus/film_smallcnn_e061_de002.3208.pt,film,smallcnn,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
f2bcb5ec4967,2.468114967931781,58,/home/dominik/repo/checkpoints/sweep/focus/film_smallcnn_e058_de002.4681.pt,film,smallcnn,image+mean+meta,focus/iphone+iphone,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
cf458668dffa,2.6098245173169854,60,/home/dominik/repo/checkpoints/sweep/focus/film_smallcnn_e060_de002.6098.pt,film,smallcnn,image+meta,focus/iphone+iphone,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6ef1ecda7952,2.3698738980711553,79,/home/dominik/repo/checkpoints/sweep/focus/film_smallcnn_e079_de002.3699.pt,film,smallcnn,image+mean+meta,focus/iphone+iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
4562e288adf6,2.4873102526915702,32,/home/dominik/repo/checkpoints/sweep/focus/xattn_resnet18_e032_de002.4873.pt,xattn,resnet18,image+mean+meta,focus/iphone+iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
76deba5fbea8,2.335858290453991,18,/home/dominik/repo/checkpoints/sweep/focus/late_resnet18_e018_de002.3359.pt,late,resnet18,image+meta,focus,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
2c6cfe148700,2.86545663549189,30,/home/dominik/repo/checkpoints/sweep/focus/late_resnet18_e030_de002.8655.pt,late,resnet18,image+mean+meta,focus/iphone+iphone,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
ea1c31e23300,2.501426573259285,25,/home/dominik/repo/checkpoints/sweep/focus/late_resnet18_e025_de002.5014.pt,late,resnet18,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
048e9ffffc0d,2.911903511013901,26,/home/dominik/repo/checkpoints/sweep/focus/late_resnet18_e026_de002.9119.pt,late,resnet18,image+meta,focus/iphone+iphone,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
7eb1f72bfdcf,2.29181802129171,28,/home/dominik/repo/checkpoints/sweep/focus/late_resnet18_e028_de002.2918.pt,late,resnet18,image+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
