_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs
model,late,44,4.405656683617744,4.299080482464994,0.7909597713662615,,,
model,xattn,14,4.539059618864579,4.240815539233067,0.6960516698639824,,,
model,film,21,4.938011440332385,4.3800889585822755,0.9427989553431931,,,
backbone,,12,4.363446698672529,4.3684922509723245,0.4431207608536167,efficientnet_b0,,
backbone,,24,4.415128321233003,4.3744709888230195,1.0613268347905256,smallcnn,,
backbone,,43,4.481163904632347,4.258223631733259,0.7372595076263423,resnet18,,
features,,18,3.261472443221272,3.49036470227255,0.4977037474688577,,image+mean+meta,
features,,23,3.7520190771075264,3.9180288109747137,0.6847634459816995,,image+meta,
features,,23,4.867693270807681,4.919633428293534,0.46413243360705714,,image,
features,,15,5.07823756535848,4.961335384258325,0.3103963099837033,,image+mean,
mse_weight_epochs,,19,4.327924994454867,4.320193261867439,0.9341335881254637,,,25.0
mse_weight_epochs,,1,4.46003777946251,4.46003777946251,,,,40.0
mse_weight_epochs,,19,4.481163904632347,4.241275979506888,0.8653538193834968,,,75.0
mse_weight_epochs,,27,4.489930328281447,4.301565409944939,0.7917001179820828,,,50.0
mse_weight_epochs,,13,4.5881889094477115,4.403277497989416,0.6733601963705615,,,10.0
model+backbone,late,12,4.323235345232314,4.427726031443923,1.156690098467906,smallcnn,,
model+backbone,late,12,4.363446698672529,4.3684922509723245,0.4431207608536167,efficientnet_b0,,
model+backbone,late,20,4.405656683617744,4.18024609197324,0.706568216999427,resnet18,,
model+backbone,film,12,4.415128321233003,4.321215946202117,1.0055400513378145,smallcnn,,
model+backbone,xattn,14,4.539059618864579,4.240815539233067,0.6960516698639824,resnet18,,
model+backbone,film,9,4.938011440332385,4.458586308422488,0.9054094223200433,resnet18,,
model+features,film,3,3.2278491234433826,3.243675002038191,0.10547358411606335,,image+mean+meta,
model+features,late,9,3.2798227593518687,3.4395656213284305,0.32557814267255075,,image+mean+meta,
model+features,film,6,3.4358185097791147,3.3931132249786082,0.27294404385628174,,image+meta,
model+features,xattn,6,3.573657956616632,3.689908173805909,0.7610646553293947,,image+mean+meta,
model+features,late,13,3.9949757790219955,3.9185678674033353,0.6865775897505922,,image+meta,
model+features,xattn,4,4.608972064308498,4.604341870031019,0.1018911453699641,,image,
model+features,xattn,4,4.648019924716673,4.703650256575852,0.23426307246120073,,image+meta,
model+features,late,9,4.692038511193317,4.8409136534121116,0.32074685518098495,,image+mean,
model+features,late,13,4.832844475732333,4.899526575350117,0.5562877803705119,,image,
model+features,film,6,5.121157054624696,5.141967980527648,0.19976609337077134,,image+mean,
model+features,film,6,5.160442807708961,5.173392648512615,0.20265456762720455,,image,
model+mse_weight_epochs,late,12,4.238069841827171,4.1548445744215,0.865069438369858,,,75.0
model+mse_weight_epochs,late,12,4.278407167697298,4.272902339495323,0.8638650674668662,,,25.0
model+mse_weight_epochs,late,15,4.394049737764441,4.32067652232405,0.7978371914268536,,,50.0
model+mse_weight_epochs,late,1,4.46003777946251,4.46003777946251,,,,40.0
model+mse_weight_epochs,xattn,5,4.489930328281447,4.177040544507028,0.6978105628144593,,,50.0
model+mse_weight_epochs,xattn,9,4.5881889094477115,4.276246091858644,0.7347576607263313,,,10.0
model+mse_weight_epochs,late,4,4.69355404840476,4.689098161783653,0.46547834822793094,,,10.0
model+mse_weight_epochs,film,7,4.855409783902376,4.389444102510409,0.9132316721065201,,,75.0
model+mse_weight_epochs,film,7,4.938011440332385,4.349559358731066,0.9432218218116387,,,50.0
model+mse_weight_epochs,film,7,5.003148919257565,4.401263414505353,1.1124421274882186,,,25.0
backbone+features,,9,3.238807607733685,3.530900169683195,0.6476825349405975,resnet18,image+mean+meta,
backbone+features,,6,3.2538359413976257,3.2504994462653634,0.11749863440979581,smallcnn,image+mean+meta,
backbone+features,,6,3.4514455066210985,3.468814960885163,0.17400805366137517,smallcnn,image+meta,
backbone+features,,3,3.796682223720827,3.8484888120549887,0.14374208301198962,efficientnet_b0,image+mean+meta,
