run_id,best_metric,best_epoch,ckpt_path,model,backbone,color_space,features,group_split,epochs,batch_size,lr,weight_decay,mse_space,mse_weight_start,mse_weight_epochs,pred_activation,activation_eps,seed
2ea7f23ae432,3.4245887576669887,26,./checkpoints/mbf/film_resnet18_e026_de003.4246.pt,film,resnet18,rgb,image+meta,0,100,32,0.001,0.0001,rgb,1.0,75,sigmoid_eps,0.001,100
68009ff90db9,3.447048261891241,27,./checkpoints/mbf/film_resnet18_e027_de003.4470.pt,film,resnet18,rgb,image+meta,0,100,32,0.001,0.0001,rgb,1.0,50,sigmoid_eps,0.001,100
31bd6df5521b,5.10783030330271,29,./checkpoints/mbf/film_resnet18_e029_de005.1078.pt,film,resnet18,rgb,image+mean,0,100,32,0.001,0.0001,rgb,1.0,25,sigmoid_eps,0.001,100
2868627ab7cd,5.205000312086464,29,./checkpoints/mbf/film_resnet18_e029_de005.2050.pt,film,resnet18,rgb,image+mean,0,100,32,0.001,0.0001,rgb,1.0,50,sigmoid_eps,0.001,100
32133e8b0896,5.192512839773427,32,./checkpoints/mbf/film_resnet18_e032_de005.1925.pt,film,resnet18,rgb,image,0,100,32,0.001,0.0001,rgb,1.0,75,sigmoid_eps,0.001,100
d81e43740a32,4.938011440332385,48,./checkpoints/mbf/film_resnet18_e048_de004.9380.pt,film,resnet18,rgb,image,0,100,32,0.001,0.0001,rgb,1.0,50,sigmoid_eps,0.001,100
910f71e08eb6,5.003148919257565,50,./checkpoints/mbf/film_resnet18_e050_de005.0031.pt,film,resnet18,rgb,image,0,100,32,0.001,0.0001,rgb,1.0,25,sigmoid_eps,0.001,100
088798a42de7,2.953726157589235,59,./checkpoints/mbf/film_resnet18_e059_de002.9537.pt,film,resnet18,rgb,image+meta,0,100,32,0.001,0.0001,rgb,1.0,25,sigmoid_eps,0.001,100
249d28df92af,4.855409783902376,76,./checkpoints/mbf/film_resnet18_e076_de004.8554.pt,film,resnet18,rgb,image+mean,0,100,32,0.001,0.0001,rgb,1.0,75,sigmoid_eps,0.001,100
f5d5ed2c5315,5.470846112569173,19,./checkpoints/mbf/film_smallcnn_e019_de005.4708.pt,film,smallcnn,rgb,image+mean,0,100,32,0.001,0.0001,rgb,1.0,25,sigmoid_eps,0.001,100
522863a80cd9,3.7520190771075264,23,./checkpoints/mbf/film_smallcnn_e023_de003.7520.pt,film,smallcnn,rgb,image+meta,0,100,32,0.001,0.0001,rgb,1.0,75,sigmoid_eps,0.001,100
93d7b7257c20,3.3561672563138214,29,./checkpoints/mbf/film_smallcnn_e029_de003.3562.pt,film,smallcnn,rgb,image+mean+meta,0,100,32,0.001,0.0001,rgb,1.0,50,sigmoid_eps,0.001,100
